"imagePath","pixelDimension","totalLength_px","headFinLength_px","notes"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_100.601.png",0.0045,98.66,30.52,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_147.514.png",0.0045,100.6,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_295.295.png",0.0045,221.7,63.77,"cj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_93.427.png",0.0045,99.14,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_113.780.png",0.0045,123.7,38.38,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_177.577.png",0.0045,124.91,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_194.261.png",0.0045,121.06,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_301.868.png",0.0045,305.78,92.74,"cj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_317.651.png",0.0045,307.47,94.09,"cj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_338.872.png",0.0045,257.74,77.94,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_327.460.png",0.0045,299.4,95.43,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_338.872.png",0.0045,253.28,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_464.297.png",0.0045,136.33,NA,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_171.838.png",0.0045,290.4,87.79,"aj"
"D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_163227/Gal2023_DJIMini2_20230217_163227_221.555.png",0.0045,171.23,51,"aj"
